model,threshold,accuracy,precision,recall,sensitivity,specificity,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives,articles_flagged_for_review,review_workload_pct,workload_reduction_pct,total_positives,total_negatives,total_samples,model_key
Multinomial Naive Bayes,0.34,0.8082191780821918,0.6923076923076923,0.75,0.75,0.8367346938775511,0.72,0.16326530612244897,0.25,18,8,41,6,26,35.61643835616438,64.38356164383562,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.36,0.8082191780821918,0.6923076923076923,0.75,0.75,0.8367346938775511,0.72,0.16326530612244897,0.25,18,8,41,6,26,35.61643835616438,64.38356164383562,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.38,0.8356164383561644,0.75,0.75,0.75,0.8775510204081632,0.75,0.12244897959183673,0.25,18,6,43,6,24,32.87671232876712,67.12328767123287,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.4,0.8356164383561644,0.75,0.75,0.75,0.8775510204081632,0.75,0.12244897959183673,0.25,18,6,43,6,24,32.87671232876712,67.12328767123287,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.42,0.8356164383561644,0.75,0.75,0.75,0.8775510204081632,0.75,0.12244897959183673,0.25,18,6,43,6,24,32.87671232876712,67.12328767123287,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.44,0.8356164383561644,0.75,0.75,0.75,0.8775510204081632,0.75,0.12244897959183673,0.25,18,6,43,6,24,32.87671232876712,67.12328767123287,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.46,0.8356164383561644,0.75,0.75,0.75,0.8775510204081632,0.75,0.12244897959183673,0.25,18,6,43,6,24,32.87671232876712,67.12328767123287,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.48,0.8356164383561644,0.75,0.75,0.75,0.8775510204081632,0.75,0.12244897959183673,0.25,18,6,43,6,24,32.87671232876712,67.12328767123287,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.5,0.821917808219178,0.7391304347826086,0.7083333333333334,0.7083333333333334,0.8775510204081632,0.723404255319149,0.12244897959183673,0.2916666666666667,17,6,43,7,23,31.506849315068493,68.4931506849315,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.52,0.821917808219178,0.7391304347826086,0.7083333333333334,0.7083333333333334,0.8775510204081632,0.723404255319149,0.12244897959183673,0.2916666666666667,17,6,43,7,23,31.506849315068493,68.4931506849315,24,49,73,multinomial_nb
